"id","course_id","course_syllabus_name","status","added_date","modified_date"
"114","130","Syllabus","A","2025-10-31 11:59:03",
"115","131","Syllabus","A","2025-10-31 15:38:38",
"116","132","Syllabus","A","2025-11-13 13:05:32",
"117","133","Syllabus","A","2025-11-19 18:36:44",
"118","135","Syllabus","A","2025-11-28 13:32:31",
"119","136","Syllabus","A","2025-12-18 14:11:24",
"120","137","Syllabus","A","2026-02-01 13:53:56",
"121","138","Syllabus","A","2026-08-02 20:27:09",
"122","139","Syllabus","A","2026-08-10 17:31:29",
"123","124","Syllabus","D","2026-08-12 14:01:37","2026-08-12 14:08:19"
"124","124","Syllabus","A","2026-08-12 14:03:57",
"125","125","Syllabus","A","2026-08-13 22:00:00",
"126","140","Syllabus","A","2026-08-16 09:54:28",
"127","141","Syllabus","A","2026-08-16 10:01:28",
"128","142","Syllabus","A","2026-08-21 17:55:43",
