"id","course_id","course_promo_video_name","position_order","status","added_date","modified_date","promo_video_details"
"63","66","Promotional Video Name",,"A","2024-08-16 17:26:56",,
"64","67","Promotional Video Name",,"A","2024-08-16 17:27:13",,
"65","69","Promotional Video Name",,"A","2024-08-17 10:47:56",,
"66","70","Promotional Video Name",,"A","2024-08-23 18:40:24",,
"67","71","Promotional Video Name",,"A","2024-08-27 12:46:23",,
"68","72","Promotional Video Name",,"A","2024-08-27 13:16:32",,
"69","73","Promotional Video Name",,"A","2024-08-27 13:16:55",,
"70","74","Promotional Video Name",,"A","2024-08-28 15:01:30",,
"71","75","Promotional Video Name",,"A","2024-08-29 17:46:29",,
"72","76","Promotional Video Name",,"A","2024-09-13 16:39:58",,
"73","77","Promotional Video Name",,"A","2024-09-13 17:30:08",,
"74","78","Promotional Video Name",,"A","2024-09-13 17:50:31",,
"75","79","Promotional Video Name",,"A","2024-09-13 18:23:22",,
"76","80","Promotional Video Name",,"A","2024-09-18 18:38:48",,
"77","81","Promotional Video Name",,"A","2024-09-22 06:08:22",,
"78","82","Promotional Video Name",,"A","2024-09-27 14:04:29",,
"79","83","Promotional Video Name",,"A","2024-09-27 14:56:31",,
"80","84","Promotional Video Name",,"A","2024-09-27 15:33:01",,
"81","85","Promotional Video Name",,"A","2024-09-27 15:47:16",,
"82","86","Promotional Video Name",,"A","2024-09-27 17:42:19",,
"83","87","Promotional Video Name",,"A","2024-10-10 16:02:16",,
"84","88","Promotional Video Name",,"A","2024-10-13 18:56:22",,
"85","89","Promotional Video Name",,"A","2024-10-17 14:34:53",,
"86","90","Promotional Video Name",,"A","2024-10-17 14:52:43",,
"87","91","Promotional Video Name",,"A","2024-10-17 17:34:22",,
"88","92","Promotional Video Name",,"A","2024-10-17 17:48:54",,
"89","93","Promotional Video Name",,"A","2024-10-17 19:52:12",,
"90","94","Promotional Video Name",,"A","2024-10-17 20:17:46",,
"91","95","Promotional Video Name",,"A","2024-10-18 14:32:40",,
"92","96","Promotional Video Name",,"A","2024-10-20 11:38:07",,
"93","97","Promotional Video Name",,"A","2024-11-08 18:44:26",,
"94","98","Promotional Video Name",,"A","2024-11-08 19:08:04",,
"95","99","Promotional Video Name",,"A","2024-11-08 19:53:25",,
"96","100","Promotional Video Name",,"A","2024-11-22 13:22:25",,
"97","101","Promotional Video Name",,"A","2024-11-22 14:34:47",,
"98","102","Promotional Video Name",,"A","2024-12-06 11:16:19",,
"99","103","Promotional Video Name",,"A","2024-12-06 11:42:38",,
"100","104","Promotional Video Name",,"A","2024-12-06 13:15:53",,
"101","105","Promotional Video Name",,"A","2024-12-19 17:58:45",,
"102","106","Promotional Video Name",,"A","2024-12-22 14:23:15",,
"103","107","Promotional Video Name",,"A","2025-01-08 14:14:34",,
"104","108","Promotional Video Name",,"A","2025-01-08 14:59:09",,
"105","109","Promotional Video Name",,"A","2025-01-08 15:32:47",,
"106","110","Promotional Video Name",,"A","2025-02-05 17:24:29",,
"107","111","Promotional Video Name",,"A","2025-02-19 20:27:50",,
"108","112","Promotional Video Name",,"A","2025-03-16 08:14:11",,
"109","113","Promotional Video Name",,"A","2025-03-30 13:51:50",,
"110","114","Promotional Video Name",,"A","2025-04-12 11:54:41",,
"111","115","Promotional Video Name",,"A","2025-04-12 14:22:17",,
"112","116","Promotional Video Name",,"A","2025-04-12 15:17:06",,
"113","117","Promotional Video Name",,"A","2025-04-13 12:06:31",,
"114","118","Promotional Video Name",,"A","2025-04-20 10:03:46",,
"115","119","Promotional Video Name",,"A","2025-04-20 13:31:36",,
"116","120","Promotional Video Name",,"A","2025-06-01 11:22:41",,
"117","121","Promotional Video Name",,"A","2025-07-14 16:31:55",,
"118","122","Promotional Video Name",,"A","2025-07-17 18:28:25",,
"119","123","Promotional Video Name",,"A","2025-07-18 19:25:47",,
"120","124","Promotional Video Name",,"A","2025-07-20 12:02:41",,
"121","125","Promotional Video Name",,"A","2025-08-10 15:03:29",,
"122","126","Promotional Video Name",,"A","2025-08-17 12:55:40",,
"123","127","Promotional Video Name",,"A","2025-08-17 17:21:01",,
"124","128","Promotional Video Name",,"A","2025-08-17 17:21:09",,
"125","129","Promotional Video Name",,"A","2025-08-31 12:25:25",,
"126","130","Promotional Video Name",,"A","2025-10-31 11:20:54",,
"127","131","Promotional Video Name",,"A","2025-10-31 14:25:22",,
"128","132","Promotional Video Name",,"A","2025-11-13 12:51:33",,
"129","133","Promotional Video Name",,"A","2025-11-19 18:17:40",,
"130","29","Promotional Video Name",,"A","2025-11-21 12:34:35",,"[{""header_text"":""Trade dress and passing off protection in India, US and UK"",""normal_text"":""<p>Trade dress and passing off protection in India, US and UK<\/p>\r\n"",""youtube_link"":""https:\/\/www.youtube.com\/embed\/5TpDmnplxvk"",""image_name"":""image1-1763708674.png""}]"
"131","134","Promotional Video Name",,"A","2025-11-28 10:57:32",,
"132","135","Promotional Video Name",,"A","2025-11-28 11:25:50",,
"133","136","Promotional Video Name",,"A","2025-12-18 13:57:26",,
"134","137","Promotional Video Name",,"A","2026-02-01 13:53:33",,
"135","138","Promotional Video Name",,"A","2026-08-02 20:12:52",,
"136","139","Promotional Video Name",,"A","2026-08-10 17:15:03",,
"137","140","Promotional Video Name",,"A","2026-08-16 09:46:18",,
"138","141","Promotional Video Name",,"A","2026-08-16 09:59:12",,
"139","142","Promotional Video Name",,"A","2026-08-21 16:15:17",,
